;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
1,30001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66905.0,0.0,0.0,0.0,3,BOX ELDER
2,30002,34.4,168.3,4.892441860465117,0.0,0.0,0.0,0.0,10.600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,1.8,66905.0,0.0,0.0,0.0,3,BOX ELDER
3,30003,17.6,64.2,3.6477272727272725,0.0,0.0,0.0,0.0,2.5000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6000000000000003,0.9,51492.0,0.0,0.0,0.0,3,BOX ELDER
4,30004,5.0,14.0,2.8,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8000000000000002,0.3,51492.0,0.0,0.0,0.0,3,BOX ELDER
5,30005,67.6,168.6,2.4940828402366866,9.7,1.1999999999999997,2.2,6.299999999999999,19.700000000000003,0.6999999999999998,0.5,1.6000000000000003,0.6,0.3,0.9,3.2999999999999994,1.8,0.0,0.0,6.400000000000001,3.6,68948.0,0.0,0.0,0.0,3,BOX ELDER
6,30006,8.0,22.0,2.75,4.4,0.0,4.4,0.0,5.6000000000000005,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8000000000000002,0.4000000000000001,51492.0,0.0,0.0,0.0,3,BOX ELDER
7,30007,44.0,105.90000000000002,2.406818181818182,62.099999999999994,7.699999999999999,24.9,29.5,156.10000000000002,5.1,2.6,9.3,15.6,2.0,4.9,4.3,18.3,90.90000000000002,0.0,0.8000000000000002,2.3,51492.0,0.0,0.0,0.0,3,BOX ELDER
8,30008,51.70000000000001,143.2,2.769825918762088,44.4,12.5,0.7000000000000001,31.2,50.30000000000001,12.4,0.10000000000000002,0.5,0.20000000000000004,28.5,0.3,0.20000000000000004,2.2,0.0,0.0,3.2000000000000006,2.7000000000000006,71055.0,0.0,0.0,0.0,3,BOX ELDER
9,30009,34.1,40.9,1.1994134897360702,70.6,4.0,53.3,13.3,78.8,2.4,1.6000000000000003,5.900000000000001,47.4,1.2,3.1,2.7000000000000006,6.3,0.0,0.0,6.400000000000001,1.8,51492.0,0.0,0.0,0.0,3,BOX ELDER
10,30010,19.3,55.0,2.849740932642487,52.6,0.0,52.6,0.0,54.4,0.0,0.0,0.0,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8000000000000002,1.0,51492.0,0.0,0.0,0.0,3,BOX ELDER
11,30011,7.7,19.2,2.4935064935064934,0.0,0.0,0.0,0.0,2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6000000000000003,0.4000000000000001,71342.0,0.0,0.0,0.0,3,BOX ELDER
12,30012,20.2,59.6,2.9504950495049505,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.1,71342.0,0.0,0.0,0.0,3,BOX ELDER
13,30013,12.800000000000002,31.7,2.4765624999999996,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.6999999999999998,71342.0,0.0,0.0,0.0,3,BOX ELDER
14,30014,21.1,52.4,2.4834123222748814,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.1,71342.0,0.0,0.0,0.0,3,BOX ELDER
15,30015,1.0,2.5,2.5,316.59999999999997,24.2,205.09999999999997,87.30000000000001,339.0,14.6,9.6,124.59999999999998,80.5,7.3,18.5,16.1,45.4,20.7,0.0,1.6000000000000003,0.10000000000000002,66905.0,0.0,0.0,0.0,3,BOX ELDER
16,30016,72.9,186.6,2.559670781893004,66.9,0.0,36.9,30.0,102.0,0.0,0.0,0.5,36.4,0.0,0.0,0.0,30.0,0.0,0.0,31.3,3.7999999999999994,68948.0,0.0,0.0,0.0,3,BOX ELDER
17,30017,191.80000000000004,979.2000000000002,5.105318039624609,0.0,0.0,0.0,0.0,154.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.6,10.1,71342.0,0.0,0.0,0.0,3,BOX ELDER
18,30018,0.0,0.0,0.0,818.5,55.80000000000001,580.0,182.7,821.7,33.7,22.100000000000005,456.2,123.8,16.7,42.6,37.1,86.3,0.0,0.0,3.2000000000000006,0.0,71342.0,0.0,0.0,0.0,3,BOX ELDER
19,30019,200.6,620.7,3.094217347956132,51.4,18.7,14.800000000000002,17.9,75.7,16.5,2.2,7.900000000000001,6.900000000000001,1.6000000000000003,4.2,3.6,8.5,0.0,0.0,13.699999999999998,10.6,68948.0,0.0,0.0,0.0,3,BOX ELDER
20,30020,188.19999999999996,411.5,2.186503719447397,146.1,26.6,33.8,85.7,171.3,19.8,6.8,24.8,9.0,5.2,13.1,11.5,55.9,0.0,0.0,15.300000000000002,9.9,79483.0,0.0,0.0,0.0,3,BOX ELDER
21,30021,65.9,168.9,2.5629742033383915,470.6,24.4,366.40000000000003,79.80000000000001,511.1,14.699999999999998,9.7,339.3,27.100000000000005,7.3,18.6,16.2,37.7,0.0,0.0,37.0,3.5,68948.0,0.0,0.0,0.0,3,BOX ELDER
22,30022,78.2,200.1,2.5588235294117645,110.4,16.3,38.5,55.60000000000001,147.4,9.6,6.7,30.8,7.7,5.2,12.6,11.699999999999998,26.100000000000005,0.0,0.0,32.9,4.1,68948.0,0.0,0.0,0.0,3,BOX ELDER
23,30023,70.0,286.0,4.085714285714285,179.7,24.1,74.69999999999999,80.9,202.7,14.300000000000002,9.8,50.79999999999999,23.899999999999995,7.5,18.6,16.6,38.2,0.0,0.0,19.3,3.7000000000000006,68948.0,0.0,0.0,0.0,3,BOX ELDER
24,30024,142.0,519.2,3.6563380281690145,14.899999999999999,2.2,4.1,8.6,36.099999999999994,1.3,0.9,3.1,1.0,0.6999999999999998,1.7,2.7999999999999994,3.4,0.0,0.0,13.699999999999998,7.5,68948.0,0.0,0.0,0.0,3,BOX ELDER
25,30025,300.0,752.2999999999998,2.5076666666666663,160.2,9.1,11.7,139.4,176.80000000000004,6.7,2.4,8.7,3.0,1.8,105.7,19.8,12.1,0.0,0.0,0.8000000000000002,15.800000000000002,61738.0,0.0,0.0,0.0,3,BOX ELDER
26,30026,183.0,292.2,1.5967213114754097,182.3,14.0,17.0,151.3,192.0,13.1,0.9,9.3,7.7,0.6999999999999998,43.1,84.5,23.0,0.0,0.0,0.0,9.7,54266.0,0.0,0.0,0.0,3,BOX ELDER
27,30027,100.0,256.5,2.565,12.600000000000001,1.9000000000000004,3.8,6.9,86.2,1.1,0.8000000000000002,2.9,0.9,0.6999999999999998,1.5,1.5,3.2000000000000006,0.0,0.0,68.3,5.3,71342.0,0.0,0.0,0.0,3,BOX ELDER
